lon,lat,cnt
104.07489,30.665570000000002,3551
104.08927,30.65085,2543
104.0662,30.684440000000002,2472
104.08708,30.6821,2138
104.105324,30.66395,2098
104.04386,30.68232,1805
104.06152,30.642740000000003,1505
104.05193,30.7004,1485
104.040627,30.662699,1474
104.073181,30.702131,1470
104.11946,30.679890000000004,1261
104.104421,30.695113,1186
104.02779,30.69567,934
104.04279,30.71717,851
104.121926,30.650747999999997,745
104.106905,30.637895,703
104.10032,30.71722,638
104.01924,30.667720000000003,526
104.02461,30.64817,486
104.07504,30.72356,460
104.04732,30.627059999999997,457
104.09085,30.620859999999997,420
104.14424,30.67282,333
104.00017,30.67693,326
104.0521,30.733590000000003,307
104.070871,30.609780999999998,305
104.12543000000001,30.70587,302
104.0251,30.630029999999998,294
104.0515,30.7663,290
104.01335999999999,30.717440000000003,274
104.12328000000001,30.724290000000003,260
104.0012,30.653709999999997,258
104.14161999999999,30.628690000000002,238
103.99669,30.704659999999997,214
104.14548,30.650640000000003,195
104.11745,30.611859999999997,191
104.00265999999999,30.6329,178
104.068,30.74643,168
104.16690600000001,30.693526000000002,160
103.97314,30.672309999999996,158
104.0637,30.589509999999997,143
104.14217,30.691291999999997,135
104.02925,30.744290000000003,131
104.14084,30.60435,115
104.08474,30.75883,114
104.04084,30.60197,106
103.97906,30.650009999999998,101
104.162864,30.615222999999997,90
103.97669,30.71789,84
104.08673,30.588490000000004,82
103.95682,30.57135,82
104.16388,30.66553,77
104.09696600000001,30.737292999999998,77
104.06402,30.571270000000002,73
103.97345,30.631429999999998,70
104.10752,30.761128999999997,69
103.98562,30.61662,69
104.17079,30.632279999999998,67
104.02128,30.61107,67
104.1664,30.716829999999998,66
104.11734,30.7445,65
104.17975,30.64958,60
103.95123000000001,30.6644,59
104.18656999999999,30.6869,56
104.06694,30.54308,54
104.04892,30.785829999999997,54
103.96428,30.69156,53
103.971137,30.758578000000004,51
103.99435,30.736990000000002,51
103.97681999999999,30.576990000000002,48
104.14480999999999,30.713420000000003,48
104.14636999999999,30.73269,46
104.109741,30.590190000000003,46
103.971099,30.740532,46
104.03623,30.57817,45
104.00036999999999,30.60152,43
104.00331,30.570320000000002,41
104.09673000000001,30.55112,39
104.1373,30.58547,39
104.03636,30.557409999999997,38
104.18573,30.667395000000003,37
103.99681,30.755879999999998,36
104.16273000000001,30.59712,36
104.13811,30.792840999999996,36
104.058428,30.802345000000003,35
104.07805,30.81012,34
104.0201,30.592551,33
104.15979,30.80295,30
104.14223,30.76002,30
